lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
    268000    2.68   9.41e-07
    269000    2.69   9.40e-07
    270000    2.70   9.40e-07
    271000    2.71   9.39e-07
    272000    2.72   9.39e-07
    273000    2.73   9.38e-07
    274000    2.74   9.38e-07
    275000    2.75   9.37e-07
    276000    2.76   9.37e-07
    277000    2.77   9.36e-07
    278000    2.78   9.36e-07
    279000    2.79   9.35e-07
    280000    2.80   9.35e-07
    281000    2.81   9.34e-07
    282000    2.82   9.34e-07
    283000    2.83   9.33e-07
    284000    2.84   9.33e-07
    285000    2.85   9.32e-07
    286000    2.86   9.32e-07
    287000    2.87   9.31e-07
    288000    2.88   9.31e-07
    289000    2.89   9.31e-07
    290000    2.90   9.30e-07
    291000    2.91   9.30e-07
    292000    2.92   9.29e-07
    293000    2.93   9.29e-07
    294000    2.94   9.28e-07
    295000    2.95   9.28e-07
    296000    2.96   9.27e-07
    297000    2.97   9.27e-07
    298000    2.98   9.26e-07
    299000    2.99   9.26e-07
    300000    3.00   9.26e-07
    301000    3.01   9.25e-07
    302000    3.02   9.25e-07
    303000    3.03   9.24e-07
    304000    3.04   9.24e-07
    305000    3.05   9.24e-07
    306000    3.06   9.23e-07
    307000    3.07   9.23e-07
    308000    3.08   9.22e-07
    309000    3.09   9.22e-07
    310000    3.10   9.22e-07
    311000    3.11   9.21e-07
    312000    3.12   9.21e-07
    313000    3.13   9.20e-07
    314000    3.14   9.20e-07
    315000    3.15   9.20e-07
    316000    3.16   9.19e-07
    317000    3.17   9.19e-07
    318000    3.18   9.18e-07
    319000    3.19   9.18e-07
    320000    3.20   9.18e-07
    321000    3.21   9.17e-07
    322000    3.22   9.17e-07
    323000    3.23   9.17e-07
    324000    3.24   9.17e-07
    325000    3.25   9.16e-07
    326000    3.26   9.16e-07
    327000    3.27   9.15e-07
    328000    3.28   9.15e-07
    329000    3.29   9.15e-07
    330000    3.30   9.14e-07
    331000    3.31   9.14e-07
    332000    3.32   9.14e-07
    333000    3.33   9.13e-07
    334000    3.34   9.13e-07
    335000    3.35   9.13e-07
    336000    3.36   9.12e-07
    337000    3.37   9.13e-07
    338000    3.38   9.13e-07
    339000    3.39   9.12e-07
    340000    3.40   9.12e-07
    341000    3.41   9.12e-07
    342000    3.42   9.11e-07
    343000    3.43   9.11e-07
    344000    3.44   9.11e-07
    345000    3.45   9.10e-07
    346000    3.46   9.10e-07
    347000    3.47   9.10e-07
    348000    3.48   9.09e-07
    349000    3.49   9.09e-07
    350000    3.50   9.09e-07
    351000    3.51   9.08e-07
    352000    3.52   9.08e-07
    353000    3.53   9.08e-07
    354000    3.54   9.07e-07
    355000    3.55   9.07e-07
    356000    3.56   9.07e-07
    357000    3.57   9.06e-07
    358000    3.58   9.06e-07
    359000    3.59   9.06e-07
    360000    3.60   9.06e-07
    361000    3.61   9.05e-07
    362000    3.62   9.05e-07
    363000    3.63   9.05e-07
    364000    3.64   9.04e-07
    365000    3.65   9.04e-07
    366000    3.66   9.04e-07
    367000    3.67   9.04e-07
    368000    3.68   9.03e-07
    369000    3.69   9.03e-07
    370000    3.70   9.03e-07
