#x y
     5.755	    0.83814382 (1.61856183e-01)       0.141
     5.814	    0.84360217 (1.56397827e-01)       0.137
     5.876	    0.84916656 (1.50833438e-01)      0.1329
     5.941	    0.85481613 (1.45183867e-01)      0.1287
     6.009	    0.86052994 (1.39470056e-01)      0.1245
     6.077	    0.86605133 (1.33948674e-01)      0.1202
     6.148	    0.87161248 (1.28387516e-01)       0.116
     6.222	    0.87719333 (1.22806674e-01)      0.1117
     6.299	    0.88277408 (1.17225923e-01)      0.1073
     6.379	    0.88833541 (1.11664589e-01)      0.1029
     6.462	    0.89385857 (1.06141426e-01)     0.09846
     6.551	    0.89950952 (1.00490477e-01)     0.09393
     6.643	    0.90506927 (9.49307319e-02)     0.08935
      6.74	    0.91068748 (8.93125238e-02)     0.08471
     6.844	     0.9163219 (8.36781030e-02)        0.08
     6.953	    0.92193166 (7.80683351e-02)     0.07524
     7.069	    0.92747782 (7.25221819e-02)     0.07046
     7.193	    0.93305187 (6.69481277e-02)     0.06563
     7.326	    0.93859178 (6.14082151e-02)     0.06075
     7.471	    0.94414801 (5.58519852e-02)     0.05579
     7.631	    0.94973705 (5.02629491e-02)     0.05075
     7.809	    0.95534257 (4.46574319e-02)     0.04562
     8.007	    0.96091793 (3.90820739e-02)     0.04042
     8.235	    0.96652634 (3.34736630e-02)     0.03513
     8.499	    0.97207228 (2.79277186e-02)     0.02976
     8.821	     0.9776936 (2.23064010e-02)     0.02428
     9.227	    0.98325435 (1.67456475e-02)     0.01867
     9.789	    0.98883009 (1.11699100e-02)     0.01333
      10.3	    0.99232614 (7.67386258e-03)     0.00927
     10.73	    0.99442301 (5.57698606e-03)    0.006594
      11.3	    0.99637475 (3.62525282e-03)    0.004492
        12	    0.99787693 (2.12307035e-03)    0.002725
        13	     0.9990274 (9.72603474e-04)    0.001417
        14	    0.99956101 (4.38991960e-04)    0.000655
        15	    0.99980442 (1.95584620e-04)    0.000298
        16	    0.99991385 (8.61462893e-05)   0.0001337
        17	    0.99996244 (3.75592918e-05)   5.924e-05
        18	    0.99998373 (1.62677407e-05)   2.599e-05
        19	    0.99999303 (6.97110658e-06)   1.129e-05
        20	    0.99999703 (2.96512312e-06)    4.86e-06
        21	    0.99999875 (1.25260981e-06)   2.075e-06
        22	    0.99999947 (5.25783259e-07)   8.796e-07
        23	    0.99999978 (2.19315329e-07)   3.706e-07
        24	    0.99999991 (9.11004058e-08)   1.554e-07
        25	    0.99999996 (3.74152197e-08)   6.479e-08
        26	    0.99999998 (1.51485118e-08)   2.685e-08
        27	    0.99999999 (5.95589666e-09)   1.108e-08
        28	             1 (2.17709883e-09)    4.55e-09
        29	             1 (6.29946872e-10)   1.862e-09
        30	             1 (0.00000000e+00)   1.862e-09
