Line 6 3 270.324005 0.007720  1  3
Line 6 4 1550.770020 0.095200  2  2
Line 6 4 1548.194946 0.190000  2  4
Line 6 4 312.451111 0.067800  2  2
Line 6 4 312.420197 0.135000  2  4
Line 6 4 244.911301 0.020300  2  2
Line 6 4 244.903397 0.040700  2  4
Line 6 4 222.788696 0.009030  2  2
Line 6 4 222.785202 0.018000  2  4
Line 6 4 212.415695 0.004830  2  2
Line 6 4 212.413895 0.009680  2  4
Line 6 4 206.633606 0.002900  2  2
Line 6 4 206.632599 0.005810  2  4
Line 6 4 203.054901 0.001880  2  2
Line 6 4 203.054199 0.003770  2  4
Line 6 4 200.676407 0.001300  2  2
Line 6 4 200.675995 0.002600  2  4
Line 6 4 199.039993 0.001870  2  4
Line 6 4 199.039993 0.000934  2  2
Line 6 5 40.267799 0.648000  1  3
Line 6 5 34.972801 0.141000  1  3
Line 6 5 33.426201 0.053600  1  3
Line 6 5 32.754200 0.026100  1  3
Line 6 5 32.399799 0.014800  1  3
Line 6 5 32.190102 0.009170  1  3
Line 6 5 32.055199 0.006090  1  3
Line 6 6 33.739601 0.139000  2  2
Line 6 6 33.734200 0.277000  2  4
Line 6 6 28.466299 0.026300  2  2
Line 6 6 28.465200 0.052700  2  4
Line 6 6 26.990101 0.009670  2  2
Line 6 6 26.989599 0.019300  2  4
Line 6 6 26.357401 0.004650  2  2
Line 6 6 26.357201 0.009300  2  4
Line 6 6 26.026100 0.002600  2  2
Line 6 6 26.025999 0.005200  2  4
Line 6 6 25.830299 0.001600  2  2
Line 6 6 25.830200 0.003210  2  4
Line 6 6 25.704800 0.002120  2  4
Line 6 6 25.704800 0.001060  2  2
Line 6 6 25.619499 0.000738  2  2
Line 6 6 25.619400 0.001480  2  4
Line 6 6 25.558800 0.000535  2  2
Line 6 6 25.558701 0.001070  2  4
Line 7 3 991.577026 0.110000  4  6
Line 7 3 991.510986 0.012200  4  4
Line 7 3 989.799011 0.122000  2  4
Line 7 3 764.351318 0.081900  4  2
Line 7 3 763.333679 0.082000  2  2
Line 7 3 686.335693 0.067000  4  2
Line 7 3 685.817383 0.335000  4  4
Line 7 3 685.515076 0.268000  2  2
Line 7 3 684.998108 0.135000  2  4
Line 7 3 452.227203 0.031600  4  2
Line 7 3 451.870789 0.031600  2  2
Line 7 3 374.442108 0.044100  4  4
Line 7 3 374.434204 0.397000  4  6
Line 7 3 374.197693 0.441000  2  4
Line 7 3 332.327301 0.006140  4  2
Line 7 3 332.134796 0.006140  2  2
Line 7 3 323.669800 0.008690  4  2
Line 7 3 323.613312 0.043400  4  4
Line 7 3 323.487213 0.034800  2  2
Line 7 3 323.430695 0.017300  2  4
Line 7 3 314.887909 0.019300  4  4
Line 7 3 314.856415 0.174000  4  6
Line 7 3 314.715088 0.194000  2  4
